Vendor,Country,Name 1,Name 2,Name 3,Name 4,City,District,PO Box,P.O. Box Postal Code,Postal Code,Region,Search term,Street,Address,Name 1,Name 2,City,Title,Train station,Int. location no. 1,Int. location no. 2,Authorization Group,Industry,Check digit,Data line,DME indicator,Instruction key,Created on,Created by,PBC/ISR number,Group key,Account group,Customer,Alternative Payee,Central deletion flag,Central posting block,Central purchasing block,Language Key,Tax Number 1,Tax Number 2,Sales equalizatn tax,Liable for VAT,Telebox number,Telephone 1,Telephone 2,Fax Number,Teletex number,Telex number,One-time account,Payee in Document,Trading Partner No.,Fiscal address,VAT Registration No.,Natural Person,Block Function,Place of birth,Date of Birth,Sex,Credit Information Number,Last External Review,Actual QM System,Reference Acct Group,P.O. Box city,Plant,Vendor sub-range relevant,Plant level relevant,Factory Calendar,Status of Data Transfer to Next Release,Tax Jurisdiction,Payment block,SCAC,Carrier freight grp,Transportation Zone,Accts for Alt. Payee,ServAgntProcGrp,Tax type,Tax number type,Social Insurance,Social Ins. Code,Tax Number 3,Tax Number 4,Tax Number 5,Tax split,Tax Base,Profession,"Stat. grp, service agent",Ext. manufacturer,URL,Name of Representative,Type of Business,Type of Industry,Confirmation status,Confirmation date,Confirmation time,Central del.block,QM System Valid To,Relevant for POD,Tax Office Responsible,Tax Number at Responsible Tax Authority,Carrier confirmation expected,Micro Company,Terms of Liability,CRC number,Business Purpose Completed Flag,RG Number,Issued by,State,RG Issuing Date,RIC Number,Foreign National Registration,RNE Issuing Date,CNAE,Legal Nature,CRT Number,ICMS Taxpayer,Industry Main Type,Tax Declaration Type,Company Size,Declaration Regimen for PIS/COFINS,Dataelement Exstensibility for Supplier,Capital Amount,Currency,Agency Location Code,Payment Office,PPA Relevant,Processor group,SLAPrepr.Proced,Name 1,Name 2,Name 3,First Name,Title,House number,Street,Date limit: Ext. ID,Annual repetition,Street,House Number,Postal Code,City,Country Key,Business Type,Prtnr's Trading Name,Partner's UTR,Verification Status,Verification Number,Tax Status,Companies House Registration Number,ECC No.,Excise Registration No.,Excise Range,Excise Division,Excise Commissionerate,CST number,LST number,Permanent account number,Exc.Tax Ind. Vendor,SSI status,Type of Vendor,CENVAT Scheme Participant,(Obsolete) Last Changed On ? do not use,(Obsolete) Changed by the user,Service Tax Registration Number,PAN Reference Number,PAN Valid From Date,Vendor for customs,Deductee Reference Number,GST Vendor Classification,Public entity,Deed public use,Social Sec.certificate valid.,Social Sec.certif.submission,CAE code,Absence of debt,Transportation Chain,Staging Time,Scheduling Procedure,CD: Relevant for Collective Numbering
23,US,Vendor XX,,,,Lake Mary,,,,32746,FL,,,25909,VENDOR XX,,LAKE MARY,,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
25,US,Test,,,,Redmond,,,,98052,,TEST,,25911,TEST,,REDMOND,Company,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
37,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25913,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
38,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25916,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
39,US,Raja Sirga,,,,Sanford,,,,32771,FL,,1001 International Pkwy - 1,25921,RAJA SIRGA,,SANFORD,,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40,US,Sirga,,,,,,,,,,,,25920,SIRGA,,,,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
41,US,S4H Supplier,,,,,,,,,,,,25917,S4H SUPPLIER,,,,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
42,US,Raja Sirga,,,,Sanford,,,,32771,FL,,1001 International Pkwy,25923,RAJA SIRGA,,SANFORD,,,0,0,,,0,,,,4/28/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
55,US,ksk,,,,,,,,32771,,,,25947,KSK,,,,,0,0,,,0,,,,5/3/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
56,US,GS,,,,,,,,32771,,,,25949,GS,,,,,0,0,,,0,,,,5/3/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
57,US,Agent XYZ,,,,Lake Mary,,,,32746,FL,,,25953,AGENT XYZ,,LAKE MARY,,,0,0,,,0,,,,5/3/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
59,US,Vendor S4H,test,,,Sanford,,,,32771,FL,,,26006,VENDOR S4H,TEST,SANFORD,,,0,0,,,0,,,,7/28/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40000,MX,TEST VENDOR,,,,PLANO,,,,75024,,TEST VENDO,PRESTON RD,25627,TEST VENDOR,,PLANO,,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40001,IT,HOSPITAL SOLUTIONS BOLOGNA SRL,,,,BUDRIO,,,,40054,IM,HOSPITAL S,VIA GUIZZARDI 52,25629,HOSPITAL SOLUTIONS BOLOGN,,BUDRIO,,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,IT,02893271201,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40002,IT,OFFICE DEPOT S.R.L.,,,,ASSAGO (MI),,,,20057,AQ,OFFICE DEP,CENTRO DIREZIONALE MILANOFIORI PALA,25631,OFFICE DEPOT S.R.L.,,ASSAGO (MI),,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,IT,,,,,,0282285,,0257504425,,,,,,,IT03675290286,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40003,IT,ASSOCIAZIONE EPILESSIA EMILIA ROMAG,,,,BOLOGNA,,,,40131,AT,ASSOCIAZIO,VIA MARCO POLO 18,25633,ASSOCIAZIONE EPILESSIA EM,,BOLOGNA,,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40004,IT,MIGLIORINI ARNALDO STANISLAO,,,,MILANO,,,,20125,AG,MIGLIORINI,VIA CIPRIANI 5,25635,MIGLIORINI ARNALDO STANIS,,MILANO,,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,IT,,,,,,0234532078,,,,,,,,,IT11394670159,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40005,FR,HOTELLERIE DES CRIQUETS,,,,BLANQUEFORT,,,,33290,07,HOTELLERIE,130 AVENUE DU 11 NOVEMBRE,25637,HOTELLERIE DES CRIQUETS,,BLANQUEFORT,,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40006,GB,John Goodwin,,,,Warwick,,,,CV34 7BD,WOR,JOHN GOODW,4 Palmer Crescent,25647,JOHN GOODWIN,,WARWICK,,,0,0,,,0,,,,10/24/2021,SAP_WFRT,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40007,US,OFFICE DEPO,,,,PLANO,,,,75024,TX,OFFICE DEP,2300 PRESTON RD,25649,OFFICE DEPO,,PLANO,,,0,0,,,0,,,,10/25/2021,SAP_WFRT,,,ZKTV,,,,,,EN,,45-3984984,,,,426-349-2399,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40008,US,INNOVA SOLUTIONS,,,,PLANO,,,,75024,,INNOVA SOL,PRESTON RD,25651,INNOVA SOLUTIONS,,PLANO,,,0,0,,,0,,,,10/25/2021,SAP_WFRT,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40009,US,Office Mart,,,,,,,,75034,TX,OFFICE MAR,2930 preston road,25655,OFFICE MART,,,,,0,0,,,0,,,,10/25/2021,SAP_WFRT,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40010,US,Office depot,,,,Frisco,,,,75035,TX,OFFICE DEP,2380 preston road,25705,OFFICE DEPOT,,FRISCO,,,0,0,,,0,,,,11/19/2021,SAP_WFRT,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40020,US,Cloud Services LLC,,,,New York,,,,10001,NY,CLOUD,4th Avenue,26508,CLOUD SERVICES LLC,,NEW YORK,Company,,0,0,,,0,,,,2/20/2024,SVEDANTHAM,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
40021,US,PE Rentals LLC,,,,New York,,,,10001,NY,LEASE,5th Avenue,26510,PE RENTALS LLC,,NEW YORK,Company,,0,0,,,0,,,,2/20/2024,SVEDANTHAM,,,ZKTV,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
