Purchasing Document,Company Code,Purch. Doc. Category,Purchasing Doc. Type,Control indicator,Deletion indicator,Status,Created on,Created by,Last Changed,Item Number Interval,Last Item,Vendor,Language Key,Payment terms,Payment in,Payment in,Payment in,Disc.percent 1,Disc.percent 2,Purch. organization,Purchasing Group,Currency,Exchange Rate,Fixed Exchange Rate,Document Date,Validity Per. Start,Validity Period End,Application Close,Quotation Deadline,Binding Period,Warr. Date,Bid invitation,Quotation,Quotation Date,Your Reference,Salesperson,Telephone,Goods Supplier,Customer,Outline agreement,Field Not Used,Complete Delivery,GR Message,Supplying Plant,Receiving Supplier,Incoterms,Incoterms (Part 2),Targ.Val. (Hdr),Distribution Type,Collective Number,Doc. Condition No.,Procedure,Update Group (stats),Invoicing Party,Number of Foreign Trade Data,Our Reference,Logical System,Subitem Interval,Time-dep. conditions,Release group,Release Strategy,Release indicator,Release State,Subject to release,Cntry for Tax Return,Rel. documentation,Address Number,Country Sls Tax No.,VAT Registration No.,Reason for Canc.,Document number,Corr. misc. provis.,Incomplete,Purchasing doc. processing state,Total val. upon release,Version,SCMPROC,Reason Code,Category of Incompleteness,Retention,Retention in Percent,Down Payment,Down Payt Percentage,Down Payment Amount,Due Date for Down Payment,Process ID No.,Part of a Contract Hierarchy,Threshold Value for Exchange Rates,Legal Contract Number,Contract Name,Release Date of Contract,Shipping Type,Handover Location,Shipping Conditions,Incoterms Version,Incoterms Location 1,Incoterms Location 2,Currency,relevant for Intrastat,exclude from Intrastat,Quotation Start Date,Follow-On Document Category,Follow-On Document Type,Ext. Include,ID of External Reference System,External Reference ID,Timestamp for Revision of External Calls,Business Purpose Completed,Document is aged,GUID 32,Counter,Relocation ID,Relocation Step ID,Logical system,Transaction Number,Item Group,Last VAS Item Number,Ord. Sch. Fields Changed Manually,Reference UUID of Transportation Mgmt,Annexing Package key,Annexing Package Extend,Base Date,Annexing Date Type,Annexing start date,deviation percentage,Annexed indicator,Limit date,Char20,New base date,Accountant general method,Do not allow negative annexing,Purch. organization,Known Index Indicator,S1POSTAT Check,Interest indicator,Snapshot Status,Procedure number,Adjustment/contest,Contract Type,Legal competence,Miscellaneous,Despatch,Date,Job,Assessment,Date,Job,Contract,Document Category,Same Delivery Date,Same Plant,Firm Deal Indicator,Take Account of Purch. Group,Take Account of Plnt,Take Account of Contract,Take Account of Item Categ.,Take Account of Fixed-Date Purchases,Consider Budget,Take Account of Alloc. Table Relevance,Take Account of Dlvy Period,Take Account of Delivery Date,Include Vendor Subrange,OTB Check Level,OTB Condition Type,Budget Number,Required Budget,OTB Currency,Reserved Budget,Special Release Budget,OTB Reason Profile for Special Release,Budget Type,OTB Check Status,Reason OTB Status,Type of OTB Check,OTB-Relevant Contract,Indicator Level for Contracts,Distrib. Using Target Value or Item Data
4500000023,1710,F,NB,,,9,10/8/2017,BPINST,10/8/2017 23:58,1,1,USSU-VSF01,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/8/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000022,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000024,1710,F,NB,,,9,10/8/2017,BPINST,10/8/2017 23:58,1,1,USSU-VSF01,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/8/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000023,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000025,1710,F,NB,,,9,10/9/2017,S4H_MM,10/9/2017 10:12,10,10,17300002,EN,0004,0,0,0,0.000,0.000,1710,003,USD,"1,00000",,10/9/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000040,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,X,02,0.00,,,,H,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000026,1710,F,NB,,,9,10/9/2017,S4H_MM,10/9/2017 12:08,10,10,17300002,EN,0004,0,0,0,0.000,0.000,1710,003,USD,"1,00000",,10/9/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000041,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,X,02,0.00,,,,H,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000027,1710,F,NB,,,9,10/10/2017,S4H_MM,10/10/2017 11:38,10,10,17300006,EN,0004,0,0,0,0.000,0.000,1710,002,USD,"1,00000",,10/10/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000080,A17001,,17300006,,,,1,,,,,,,US,,,,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000028,1710,F,NB,,,9,10/10/2017,DDIC,10/11/2019 6:42,10,10,17300002,EN,0002,14,30,0,2.000,0.000,1710,001,EUR,"0,91591",,10/10/2017,,,,,,,,8000000001,10/10/2017,,,,,,,,,,,,,,0.00,,,1000000083,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000029,1710,F,ENB,,,9,10/16/2017,S4H_MM,9/4/2025 3:24,10,10,17300001,EN,0004,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/16/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000100,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000032,1710,F,NB,,,9,10/16/2017,BPINST,10/16/2017 23:09,10,10,17300007,EN,0001,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/16/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000103,A17001,SAP,17300007,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000033,1710,F,NB,,,9,10/16/2017,BPINST,3/21/2018 16:07,10,30,17300007,EN,0001,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/16/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000104,A17001,SAP,17300007,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000034,1710,F,NB,,,9,10/17/2017,S4H_MM,10/17/2017 7:44,10,10,17300002,EN,0004,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000105,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000035,1710,F,NB,,,9,10/17/2017,S4H_MM,10/17/2017 10:56,10,10,17300001,EN,0004,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000106,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000036,1710,F,NB,,,9,10/17/2017,S4H_MM,8/23/2023 1:42,10,10,17300001,EN,0001,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000107,A17001,,17300001,,,,1,,S1,SH,G,X,,US,,,,,0,,,,05,915.90,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000038,1710,F,NB,,,9,10/17/2017,S4H_MM,10/17/2017 12:09,10,10,17300001,EN,0004,0,0,0,0.000,0.000,1710,002,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000109,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000039,1710,F,NB,,,9,10/17/2017,S4H_MM,2/4/2020 20:42,10,10,17300001,EN,0004,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000110,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,05,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000040,1710,F,NB,,,9,10/17/2017,S4H_MM,10/17/2017 12:46,10,10,17300006,EN,0004,0,0,0,0.000,0.000,1710,002,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000111,A17001,,17300006,,,,1,,,,,,,US,,,,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000041,1710,F,NB,,,9,10/17/2017,S4H_PP,10/17/2017 14:18,10,10,17300001,EN,0004,0,0,0,0.000,0.000,1710,001,USD,"1,00000",,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000112,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000042,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,9,USSU-VSF04,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000113,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000043,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,9,USSU-VSF02,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000114,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000044,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,9,USSU-VSF01,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000115,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000045,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,10,USSU-VSF05,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000116,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000046,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,10,USSU-VSF06,EN,NT30,30,0,0,0.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000117,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000047,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,10,USSU-VSF07,EN,NT30,30,0,0,0.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000118,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000048,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,7,USSU-VSF08,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000119,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000049,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,7,USSU-VSF08,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000120,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000050,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,7,USSU-VSF06,EN,NT30,30,0,0,0.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000121,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
4500000051,1710,F,NB,,,9,10/18/2017,S4H_CO,10/18/2017 12:57,1,1,USSU-VSF01,EN,0002,14,30,0,2.000,0.000,1710,002,USD,"1,00000",,10/18/2017,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1000000122,A17001,SAP,,,,,1,,,,,,,US,,,US,,0,,,,02,0.00,,,,,,0.00,,0.00,0.00,,,,,,,,,,,,,,USD,,,,,,,,,1/0/1900 0:00,,,,0,,,,,0,0,,,0,0,,,,0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,0.00,0.00,,,,,,,,
