Material,Created On,Created At Time,Created by,Last Change,Changed by,Compl. maint. status,Maintenance status,DF at client level,Material type,Industry Sector,Material Group,Old material number,Base Unit of Measure,Order Unit,Document,Document type,Doc. Version,Page format,Document change no.,Page number,Number of sheets,Prod./insp. memo,Page format,Size/dimensions,Basic material,Industry Std Desc.,Lab/Office,Purchasing value key,Gross weight,Net weight,Weight unit,Volume,Volume unit,Container reqmts,Storage conditions,Temp. conditions,Low-Level Code,Transportation Group,Haz. material number,Division,Competitor,EAN Number,Number of GR slips,Procurement rule,Source of supply,Season,Label type,Label form,Field deactivated,EAN/UPC,EAN category,Length,Width,Height,Unit of Dimension,Product hierarchy,Stock Transfer Net Change Costing,CAD Indicator,QM in Procur. Active,Allowed pkg weight,Unit of weight,Allowed pkg volume,Volume unit,Excess wt tolerance,Excess volume tol.,Variable Purchase Order Unit,Revision Level Assgd,Material is configurable,Batch management,Packaging Mat. Type,Maximum level,Stackability factor,Matl Grp Pack.Matls,Authorization Group,Valid From,Valid to,Season Year,Price Band Category,With empties BOM,Ext. Material Group,Cross-plant CM,Material Category,Co-product,Follow-up material,Pricing Ref. Matl,X-Plant Material Status,X-distr.chain status,Valid from,Valid from,Tax classification,Catalog Profile,Min. Rem. Shelf Life,Total shelf life,Storage percentage,Content unit,Net contents,ComparisonPriceUnit,Labeling matl grpg,Gross contents,Conversion Method,Internal object no.,Environmentally rlvt,Product allocation,Pricing profile,Qual.f.FreeGoodsDis.,Manufacturer Part No.,Manufacturer,Int. material number,Mfr part profile,Units of meas. usage,Rollout,DG indicator profile,Highly viscous,In bulk/liquid,Serialization level,Closed,Appr.Batch Recd Req.,Assign effect. vals,Material completion level,Period Ind. for SLED,Rounding rule SLED,Product Composition,Gen. item cat. grp,Logistical variants,Material is locked,Indicator for relevance in CM,Assortment List Type,Expiration Date,EAN Variant,Generic Material,Reference matl for packing,GDS-Relevant,Origin Acceptance,Standard HU Type,Pilferable,WH Storage Condition,WH Material Group,Handling Indicator,Relevant for HS,Handling Unit Type,Varb. Tare Weight,Maximum Capacity,Overcapacity Toler.,Max. Pack. Length,Max. Pack. Width,Max. Pack. Height,Unit of Measurement,Country of origin,Material freight grp,Quarant. Per.,Quarantine Time Unit,Quality Inspection Group,Serial No. Profile,Form Name,Logistics Unit of Measure,Material Is a CW Material,CW Profile for CW Quantity,Catch Weight Tolerance Group,Adjustment Profile (Merchandise Distr.),Intellectual Property,Variant Price Allowed,Medium,Commodity,Cont. Non-Textile Parts of Animal Origin,Textile Composition Maintenance Active,Last Changed Time,Material,Chemical Compliance Relevance Indicator,Category of a Logistical Material,Material Number of Sales Material,Identification Tag Type,Segmentation Structure,Segmentation Strategy,Segmentation Status,Segmentation Strategy Scope,Segmentation Relevant,ANP Code,Protected Species Management Code,Fashion Attribute 1,Fashion Attribute 2,Fashion Attribute 3,Season Usage,Season Active in Inventory Management,Material Conv. ID,Dummy Field,Custom Field: High Risk ?,Custom Field: Risk Mitigation,Custom Field: Risk Reason,Product,Product ID,Maturation Time,Reqd Min. Shelf Life,Reqd Max. Shelf Life,Preferred Unit of Measure,Reference Product for Package Building,Product Shape,Product Orientation Profile,Overhang Threshold [%],Bridge Threshold [%],Maximum Slope for Bridges [ ],Absolute Height Threshold,UoM of Absolute Height Threshold,Product for Kit-to-Order,Procure to Order,Push Deployment from Supplier,Inventory Balancing Not Allowed,DRP: Global Stock on Entry Location,Excl. from Express Shipm.,Material Is Activated for CW,Valuation UoM,CW Tolerance Group,Fixed Tare,Ref.Unit of Measure TARE Calculation,Loading Units,Loading Unit Group,Structure Category,Tolerance Type ID,Counting Group,DSD Grouping,Cable Diameter,Unit for Dimensions,Cable Diameter Allowance in Percent,Bending Factor,Inner Width,Outer Diameter,Core Diameter,Load Capacity,R-O Flange Thick.,R-O Flange Height,Coil Delivery,Run-Out Flange,No. Vertical Layers,Smallest Permitted Clearance,Serialization Type,Synchronization Active,Last Synchronization Time,Indicator Changed Since Integration,Profile Relevant Country,Product Category,Tilting Allowed,No Stacking,Only Bottom Layer,Only Top Layer,Stacking Factor,Load without PKM,PKM Overhang Depth,PKM Overhang Width,Max. Stacking Height,Min. Stacking Height,Max.StackH Tolerance,No. Mat / Closed PKM,VSO Unit of Measure,Closed PKM Required,Packaging Code,DG Packaging Status,Duration of Work,Unit,Service Profile,Response Prof.,Billing Cycle,Billing Cycle Determination Rule ID,Assignment Schema,Material Condition Mgmt,Return Code,Return to Logistics Level,NATO Stock Number,Interchangeability Code for Ammunition,RIC ID,Overlength Part Number,Spare Part Class Code,Variable ObjectID,MS Book Part Number,SU Batch Default Value,Goods Rcpt to Posted Single-Unit Bch,Form-Fit-Function class,Supersession chain number,Creation Status,Int. Char. Number,Int. Char. Number,Int. Char. Number,Color,Main Size,Second Size,Free Charact. Value,Care Code,Brand,Component 1,Percentage Share 1,Component 2,Percentage Share 2,Component 3,Percentage Share 3,Component 4,Percentage Share 4,Component 5,Percentage Share 5,Fashion Grade,Material description,Material description
2839,9/22/2022,8:45:13 PM,BASIS001,9/22/2022,BASIS001,K,K,,ZERS,M,,,EA,,,,,,,,0,,,,,,,,0,10,KG,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,AC,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,5:02:11 PM,2839,Not Decided,,,,,,,,,0,,,,,,,,,,,,246E960E85881EDD8ED6EE9FCE4CF2AA,96wM3eM87jsErkwVpapogW,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,CLAMP HOSE IDEAL-C 6752-1,CLAMP HOSE IDEAL-C 6752-1
A004,4/18/2022,7:13:26 PM,RSIRGA,4/18/2022,BASIS001,K,K,,COUP,P,02,3456,EA,,,,,,,,0,,,,,,001,,0,0,KG,0.000,,,,,,,,01,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,3:45:26 PM,A004,Not Decided,,,,,,,,,0,,,,,,,,,,,,246E960E85881EECAFE973F26B435901,96wM3eM87kolwNFoQqDP0G,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,New Material,NEW MATERIAL
A005,4/20/2022,5:50:05 PM,BASIS001,4/20/2022,BASIS001,KV,KV,,COUP,P,02,3456,EA,,,,,,,,0,,,,,,001,,0,0,KG,0.000,,,,,,,,01,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,AUTH,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,1,,,,0,D,,,NORM,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,5:50:05 PM,A005,Not Decided,,,,,,,,,0,,,,,,,,,,,,246E960E85881EDCB09A49F042DA7827,96wM3eM87jomcadmGjfu9m,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,Material Demo_1,MATERIAL DEMO_1
A006,5/4/2022,12:30:19 PM,BASIS001,5/4/2022,BASIS001,K,K,,COUP,P,02,3456,EA,,,,,,,,0,,,,,,,,0,0,KG,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,12:30:19 PM,A006,Not Decided,,,,,,,,,0,,,,,,,,,,,,246E960E85881EECB2F4BEAF6FF09E30,96wM3eM87koozBwlR}2UC0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,New Material,NEW MATERIAL
A007,5/4/2022,12:30:18 PM,BASIS001,5/4/2022,BASIS001,KV,KV,,COUP,P,02,3456,EA,,,,,,,,0,,,,,,,,0,0,KG,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,1,,,,0,D,,,NORM,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,12:30:18 PM,A007,Not Decided,,,,,,,,,0,,,,,,,,,,,,246E960E85881EECB2F4BE9CE0E11E30,96wM3eM87koozBwSuE4UC0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,Material Demo_1,MATERIAL DEMO_1
A008,5/4/2022,12:30:17 PM,BASIS001,5/4/2022,BASIS001,K,K,,COUP,P,02,3456,EA,,,,,,,,0,,,,,,,,0,0,KG,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,12:30:17 PM,A008,Not Decided,,,,,,,,,0,,,,,,,,,,,,246E960E85881EECB2F4BE8A7E08BE30,96wM3eM87koozBwAVWY{C0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,induction motor,INDUCTION MOTOR
ACT-DCD-00,2/12/2019,12:00:00 AM,MDG_EXPERT,2/12/2019,MDG_EXPERT,K,K,,FERT,M,02,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,7:37:48 AM,ACT-DCD-00,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501EE98BD2FDA12F93538F,2dn5VqLG7kcBqlsXBvDJZm,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,Demo CD,DEMO CD
ACT-DCD-01,2/14/2019,12:00:00 AM,MDG_APPROVER,2/27/2020,MDG_APPROVER,KD,KD,,FERT,M,02,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,11:45:31 AM,ACT-DCD-01,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501ED98C8BDD9DBD1708FB,2dn5VqLG7jcCYzsTlHS8{m,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD01,MDG DEMO: CD01
ACT-DCD-02,2/18/2019,12:00:00 AM,MDG_APPROVER,2/19/2019,MDG_APPROVER,K,K,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,3:28:00 PM,ACT-DCD-02,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501ED98CF26AA41A115B98,2dn5VqLG7jcCycga6X5Rc0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD02,MDG DEMO: CD02
ACT-DCD-03,2/18/2019,12:00:00 AM,MDG_APPROVER,2/27/2020,MDG_APPROVER,K,K,,FERT,M,02,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,11:45:35 AM,ACT-DCD-03,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501ED98CF26AA41A119B98,2dn5VqLG7jcCycga6X6Rc0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD03,MDG DEMO: CD03
ACT-DCD-04,2/18/2019,12:00:00 AM,MDG_APPROVER,2/27/2020,MDG_APPROVER,K,K,,FERT,M,02,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,11:45:35 AM,ACT-DCD-04,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501ED98CF26AA41A11BB98,2dn5VqLG7jcCycga6X6xc0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD04,MDG DEMO: CD04
ACT-DCD-05,2/18/2019,12:00:00 AM,MDG_APPROVER,2/25/2020,MDG_APPROVER,K,K,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,9:06:16 AM,ACT-DCD-05,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501ED98CF26AA41A11DB98,2dn5VqLG7jcCycga6X7Rc0,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD05,MDG DEMO: CD05
ACT-DCD-07,2/19/2019,12:00:00 AM,MDG_APPROVER,2/25/2020,MDG_APPROVER,KD,KD,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,9:06:16 AM,ACT-DCD-07,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501EE98D85628582E4752E,2dn5VqLG7kcDXMA5WkHrBW,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD07,MDG DEMO: CD07
ACT-DCD-11,2/19/2019,12:00:00 AM,MDG_APPROVER,2/19/2019,MDG_APPROVER,KD,KD,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,3:28:00 PM,ACT-DCD-11,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501EE98D8B5E00F6D3FDE3,2dn5VqLG7kcDYru0zjFzum,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD11,MDG DEMO: CD11
ACT-DCD-12,2/19/2019,12:00:00 AM,MDG_APPROVER,2/19/2019,MDG_APPROVER,KD,KD,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,3:28:01 PM,ACT-DCD-12,Not Decided,,,,,,,,,0,,,,,,,,,,,,0A7C457F45501EE98D8B5E2755DD9DE3,2dn5VqLG7kcDYrudLTsTum,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG Demo: CD12,MDG DEMO: CD12
ACT-DCD-13,2/25/2020,9:06:16 AM,MDG_APPROVER,2/25/2020,MDG_APPROVER,K,K,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,9:06:16 AM,ACT-DCD-13,Not Decided,,,,,,,,,0,,,,,,,,,,,,12BC0C10DAAF1EDA95F5C272A556857E,4hmC4Dgl7jgLzS9ofLQ5VW,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG DEMO:CD13,MDG DEMO:CD13
ACT-DCD-14,2/25/2020,9:06:16 AM,MDG_APPROVER,2/25/2020,MDG_APPROVER,K,K,,FERT,M,01,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,9:06:16 AM,ACT-DCD-14,Not Decided,,,,,,,,,0,,,,,,,,,,,,12BC0C10DAAF1EDA95F5C272A556C57E,4hmC4Dgl7jgLzS9ofLR5VW,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG DEMO:CD14,MDG DEMO:CD14
ACT-DCD-15,2/27/2020,11:45:35 AM,MDG_APPROVER,2/27/2020,MDG_APPROVER,KD,KD,,FERT,M,02,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,11:45:36 AM,ACT-DCD-15,Not Decided,,,,,,,,,0,,,,,,,,,,,,12BC0C10DAAF1EDA96AAD55522E2D7D6,4hmC4Dgl7jgMgjLL8kBNrW,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG DEMO:CD15,MDG DEMO:CD15
ACT-DCD-16,2/27/2020,11:45:36 AM,MDG_APPROVER,2/27/2020,MDG_APPROVER,KD,KD,,FERT,M,02,,PC,,,,,,,,0,,,,,,,,0.000,0.000,,0.000,,,,,,,,,,,0,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,,0.000,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,01,,,,,,0,0,0,,0.000,0,,0.000,,0,,,,,,,,,,,,,,,,,,0,D,,,0001,,,,,,,,,,,,,,,,,,,0.000,0.0,0.000,0.000,0.000,,,,0,,,,,,,,,,,,,,,,11:45:36 AM,ACT-DCD-16,Not Decided,,,,,,,,,0,,,,,,,,,,,,12BC0C10DAAF1EDA96AAD55522E357D6,4hmC4Dgl7jgMgjLL8kDNrW,,,,,,,,0.00,0.00,0.00,0.000,,,,,,,,,,,,,0,,,,,,0.00,,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,,,0,0.00,0,,,,,,,,,,0,,0.000,0.000,0.000,0.000,0.000,0,,,,,0.000,,,,,,,,,,,,0,,0,00000000000000000000000000000000,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,MDG DEMO:CD16,MDG DEMO:CD16
