Purchasing Document,Item,Seq. No. of Account Assgt,Trans./event type,Material Doc. Year,Material Document,Material Doc.Item,PO History Category,Movement type,Posting Date,Quantity,Quantity in OPUn,Amt.in Loc.Cur.,Amount,Currency,GR/IR clearing value in local currency,GR Blck.Stock in OUn,GR blocked stck.OPUn,Debit/Credit ind,Valuation Type,Delivery Completed,Reference,Fisc. Year Ref. Doc.,Reference Document,Reference Doc. Item,Reason for Movement,Entry Date,Time of Entry,Invoice Value,Compliance with Shipping Instr.,Invoice Value in FC,Material,Plant,RevGR despite IR,Sequential Number,Doc. Condition No.,Tax Code,Del. Note Quantity,Delivery Note Unit,Material,GR/IR clearing value in FC,Local currency,Quantity,Batch,Document Date,Calcn of value open,Unplanned Acct Assgmt: Inv. Verification,Created by,Service,Package Number,Service line,Seq. No. of PO Acc. Assignment,SRV Returns Indicator,GR/IR clearing value in FC,FC invoice amount,SAP Release,Quantity,Quantity in OPUn,Amt.in Loc.Cur.,Amount,Val. GR Blocked Stock in OUn,Valuated GR Blocked Stock in OPUn,Origin Acceptance,GR/IR clearing value in local currency,Exch. Rate Diff. Amt,Retention in Document Currency,Retention in Company Code Currency,Posted Retention in Document Currency,Posted Security Retention in CC Crcy,Multiple Account Assignment,Exchange Rate,Origin of an Invoice Item,Delivery,Item,Stock Segment,Data Filter Value for Data Aging,SES Unit of Measure,Logical System,SLQUpd.,Quantity in Parallel Unit of Measure,GR Blocked Stock in Base/Parallel UoM,Parallel Unit of Measure Type,GR Blkd Stk in Basis or Parallel UoM,Die complete flag,Season Year,Season,Collection,Theme,Quantity,Characteristic Value 1,Characteristic Value 2,Characteristic Value 3
4500000617,1,0,1,2020,5000000982,1,E,101,1/31/2020,67.000,67.000,"9,773.29","9,773.29",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:23:53 PM,0.00,,0.00,MZ-RM-R100-01,1710,,0,,,0.000,,,0.00,USD,67.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000618,1,0,1,2020,5000000983,1,E,101,1/31/2020,33.000,33.000,"22,079.64","22,079.64",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:23:57 PM,0.00,,0.00,MZ-RM-M550-01,1710,,0,,,0.000,,,0.00,USD,33.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000619,1,0,1,2020,5000000984,1,E,101,1/31/2020,152.000,152.000,"31,667.68","31,667.68",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:02 PM,0.00,,0.00,MZ-RM-M525-01,1710,,0,,,0.000,,,0.00,USD,152.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000620,1,0,1,2020,5000000985,1,E,101,1/31/2020,95.000,95.000,"10,869.90","10,869.90",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:07 PM,0.00,,0.00,MZ-RM-M500-01,1710,,0,,,0.000,,,0.00,USD,95.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000621,1,0,1,2020,5000000986,1,E,101,1/31/2020,164.000,164.000,"54,979.36","54,979.36",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:11 PM,0.00,,0.00,MZ-RM-C990-01,1710,,0,,,0.000,,,0.00,USD,164.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000622,1,0,1,2020,5000000987,1,E,101,1/31/2020,83.000,83.000,"15,751.74","15,751.74",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:15 PM,0.00,,0.00,MZ-RM-C950-01,1710,,0,,,0.000,,,0.00,USD,83.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000623,1,0,1,2020,5000000988,1,E,101,1/31/2020,191.000,191.000,"19,634.80","19,634.80",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:19 PM,0.00,,0.00,MZ-RM-C900-01,1710,,0,,,0.000,,,0.00,USD,191.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000624,1,0,1,2020,5000000989,1,E,101,1/31/2020,"1,509.000","1,509.000","61,657.74","61,657.74",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:22 PM,0.00,,0.00,MZ-TG-Y120,1710,,0,,,0.000,,,0.00,USD,"1,509.000",,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000625,1,0,1,2020,5000000990,1,E,101,1/31/2020,490.000,490.000,"33,354.30","33,354.30",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:25 PM,0.00,,0.00,MZ-TG-Y200,1710,,0,,,0.000,,,0.00,USD,490.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000626,1,0,1,2020,5000000991,1,E,101,1/31/2020,913.000,913.000,"79,230.14","79,230.14",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:24:28 PM,0.00,,0.00,MZ-TG-Y240,1710,,0,,,0.000,,,0.00,USD,913.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000627,1,0,1,2020,5000000992,1,E,101,2/3/2020,63.000,63.000,"109,001.97","109,001.97",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:19:40 PM,0.00,,0.00,MZ-RM-R300-01,1710,,0,,,0.000,,,0.00,USD,63.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000628,1,0,1,2020,5000000993,1,E,101,2/3/2020,103.000,103.000,"72,241.11","72,241.11",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:19:47 PM,0.00,,0.00,MZ-RM-R200-01,1710,,0,,,0.000,,,0.00,USD,103.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000629,1,0,1,2020,5000000994,1,E,101,2/3/2020,167.000,167.000,"24,360.29","24,360.29",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:19:51 PM,0.00,,0.00,MZ-RM-R100-01,1710,,0,,,0.000,,,0.00,USD,167.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000630,1,0,1,2020,5000000995,1,E,101,2/3/2020,64.000,64.000,"42,821.12","42,821.12",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:19:56 PM,0.00,,0.00,MZ-RM-M550-01,1710,,0,,,0.000,,,0.00,USD,64.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000631,1,0,1,2020,5000000996,1,E,101,2/3/2020,394.000,394.000,"82,085.96","82,085.96",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:00 PM,0.00,,0.00,MZ-RM-M525-01,1710,,0,,,0.000,,,0.00,USD,394.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000632,1,0,1,2020,5000000997,1,E,101,2/3/2020,126.000,126.000,"14,416.92","14,416.92",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:05 PM,0.00,,0.00,MZ-RM-M500-01,1710,,0,,,0.000,,,0.00,USD,126.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000633,1,0,1,2020,5000000998,1,E,101,2/3/2020,253.000,253.000,"84,815.72","84,815.72",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:09 PM,0.00,,0.00,MZ-RM-C990-01,1710,,0,,,0.000,,,0.00,USD,253.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000634,1,0,1,2020,5000000999,1,E,101,2/3/2020,235.000,235.000,"44,598.30","44,598.30",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:13 PM,0.00,,0.00,MZ-RM-C950-01,1710,,0,,,0.000,,,0.00,USD,235.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000635,1,0,1,2020,5000001000,1,E,101,2/3/2020,376.000,376.000,"38,652.80","38,652.80",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:17 PM,0.00,,0.00,MZ-RM-C900-01,1710,,0,,,0.000,,,0.00,USD,376.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000636,1,0,1,2020,5000001001,1,E,101,2/3/2020,"1,791.000","1,791.000","73,180.26","73,180.26",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:20 PM,0.00,,0.00,MZ-TG-Y120,1710,,0,,,0.000,,,0.00,USD,"1,791.000",,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000637,1,0,1,2020,5000001002,1,E,101,2/3/2020,"1,212.000","1,212.000","82,500.84","82,500.84",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:23 PM,0.00,,0.00,MZ-TG-Y200,1710,,0,,,0.000,,,0.00,USD,"1,212.000",,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000638,1,0,1,2020,5000001003,1,E,101,2/3/2020,948.000,948.000,"82,267.44","82,267.44",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,6:20:26 PM,0.00,,0.00,MZ-TG-Y240,1710,,0,,,0.000,,,0.00,USD,948.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000639,1,0,1,2020,5000001004,1,E,101,2/2/2020,56.000,56.000,"96,890.64","96,890.64",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:27 PM,0.00,,0.00,MZ-RM-R300-01,1710,,0,,,0.000,,,0.00,USD,56.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000640,1,0,1,2020,5000001005,1,E,101,2/2/2020,57.000,57.000,"39,978.09","39,978.09",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:32 PM,0.00,,0.00,MZ-RM-R200-01,1710,,0,,,0.000,,,0.00,USD,57.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000641,1,0,1,2020,5000001006,1,E,101,2/2/2020,109.000,109.000,"15,899.83","15,899.83",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:37 PM,0.00,,0.00,MZ-RM-R100-01,1710,,0,,,0.000,,,0.00,USD,109.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000642,1,0,1,2020,5000001007,1,E,101,2/2/2020,48.000,48.000,"32,115.84","32,115.84",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:41 PM,0.00,,0.00,MZ-RM-M550-01,1710,,0,,,0.000,,,0.00,USD,48.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000643,1,0,1,2020,5000001008,1,E,101,2/2/2020,242.000,242.000,"50,418.28","50,418.28",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:46 PM,0.00,,0.00,MZ-RM-M525-01,1710,,0,,,0.000,,,0.00,USD,242.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000644,1,0,1,2020,5000001009,1,E,101,2/2/2020,185.000,185.000,"21,167.70","21,167.70",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:50 PM,0.00,,0.00,MZ-RM-M500-01,1710,,0,,,0.000,,,0.00,USD,185.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000645,1,0,1,2020,5000001010,1,E,101,2/2/2020,150.000,150.000,"50,286.00","50,286.00",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:54 PM,0.00,,0.00,MZ-RM-C990-01,1710,,0,,,0.000,,,0.00,USD,150.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000646,1,0,1,2020,5000001011,1,E,101,2/2/2020,206.000,206.000,"39,094.68","39,094.68",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:02:58 PM,0.00,,0.00,MZ-RM-C950-01,1710,,0,,,0.000,,,0.00,USD,206.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000647,1,0,1,2020,5000001012,1,E,101,2/2/2020,377.000,377.000,"38,755.60","38,755.60",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:03:02 PM,0.00,,0.00,MZ-RM-C900-01,1710,,0,,,0.000,,,0.00,USD,377.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000648,1,0,1,2020,5000001013,1,E,101,2/2/2020,"1,224.000","1,224.000","50,012.64","50,012.64",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:03:05 PM,0.00,,0.00,MZ-TG-Y120,1710,,0,,,0.000,,,0.00,USD,"1,224.000",,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000649,1,0,1,2020,5000001014,1,E,101,2/2/2020,"1,311.000","1,311.000","89,239.77","89,239.77",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:03:09 PM,0.00,,0.00,MZ-TG-Y200,1710,,0,,,0.000,,,0.00,USD,"1,311.000",,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000650,1,0,1,2020,5000001015,1,E,101,2/2/2020,413.000,413.000,"35,840.14","35,840.14",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:03:11 PM,0.00,,0.00,MZ-TG-Y240,1710,,0,,,0.000,,,0.00,USD,413.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000651,1,0,1,2020,5000001016,1,E,101,2/2/2020,56.000,56.000,"96,890.64","96,890.64",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:09:21 PM,0.00,,0.00,MZ-RM-R300-01,1710,,0,,,0.000,,,0.00,USD,56.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000652,1,0,1,2020,5000001017,1,E,101,2/2/2020,57.000,57.000,"39,978.09","39,978.09",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:09:26 PM,0.00,,0.00,MZ-RM-R200-01,1710,,0,,,0.000,,,0.00,USD,57.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000653,1,0,1,2020,5000001018,1,E,101,2/2/2020,109.000,109.000,"15,899.83","15,899.83",USD,0.00,0.000,0.000,S,,X,,,,0,0,2/3/2020,9:09:30 PM,0.00,,0.00,MZ-RM-R100-01,1710,,0,,,0.000,,,0.00,USD,109.000,,2/3/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
